"","time","variable","value"
"153",50,"R",0.89585708611116
"154",0,"incidence",NA
"155",1,"incidence",0.065843588567901
"156",2,"incidence",0.0978243951900365
"157",3,"incidence",0.123319128255865
"158",4,"incidence",0.128278262777754
"159",5,"incidence",0.111328582669052
"160",6,"incidence",0.0843736082282571
"161",7,"incidence",0.0590433484880617
"162",8,"incidence",0.0398960332284619
"163",9,"incidence",0.0267539656317361
"164",10,"incidence",0.0180462712765781
"165",11,"incidence",0.0123047237634766
"166",12,"incidence",0.00848599543601164
"167",13,"incidence",0.00591206054247506
"168",14,"incidence",0.00415329666121458
"169",15,"incidence",0.00293688250438495
"170",16,"incidence",0.00208712111134116
"171",17,"incidence",0.00148879114919727
"172",18,"incidence",0.00106493669904072
"173",19,"incidence",0.000763305577412457
"174",20,"incidence",0.000547922884316349
"175",21,"incidence",0.000393741184027047
"176",22,"incidence",0.000283167644965818
"177",23,"incidence",0.000203762224155829
"178",24,"incidence",0.000146683933082148
"179",25,"incidence",0.000105625950109725
"180",26,"incidence",7.60767582133615e-05
"181",27,"incidence",5.48025397216767e-05
"182",28,"incidence",3.94818898105387e-05
"183",29,"incidence",2.84465889378444e-05
"184",30,"incidence",2.04968777430675e-05
"185",31,"incidence",1.47694195039572e-05
"186",32,"incidence",1.06427108292478e-05
"187",33,"incidence",7.66920868244814e-06
"188",34,"incidence",5.52656986339828e-06
"189",35,"incidence",3.98259080001961e-06
"190",36,"incidence",2.86998249802994e-06
"191",37,"incidence",2.06821346827868e-06
"192",38,"incidence",1.4904359397494e-06
"193",39,"incidence",1.07407001394277e-06
"194",40,"incidence",7.74021144345216e-07
"195",41,"incidence",5.57793880764934e-07
"196",42,"incidence",4.01971407396062e-07
"197",43,"incidence",2.89678949369487e-07
"198",44,"incidence",2.08756000888433e-07
"199",45,"incidence",1.50439259133384e-07
"200",46,"incidence",1.08413542920793e-07
"201",47,"incidence",7.81278701039723e-08
"202",48,"incidence",5.63026066602301e-08
"203",49,"incidence",4.05743030978956e-08
"204",50,"incidence",2.92397511619802e-08
