"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage"
"1%86","New Mexico",2021-01-16,3,11,43871.99,1
"2.5%86","New Mexico",2021-01-16,3,35,35306.075,1
"5%86","New Mexico",2021-01-16,3,104.95,27914.3,1
"10%86","New Mexico",2021-01-16,3,312.7,20081.4,1
"15%86","New Mexico",2021-01-16,3,578.85,16047.05,1
"20%86","New Mexico",2021-01-16,3,919.6,12914.6,1
"25%86","New Mexico",2021-01-16,3,1304.75,10531.5,1
"30%86","New Mexico",2021-01-16,3,1736,8835.9,1
"35%86","New Mexico",2021-01-16,3,2269.65,7329.85000000001,1
"40%86","New Mexico",2021-01-16,3,2859.6,6188.8,1
"45%86","New Mexico",2021-01-16,3,3529,5158.45000000001,1
"1%87","New Mexico",2021-01-16,4,11,98927.1400000001,1
"2.5%87","New Mexico",2021-01-16,4,35,63189.85,1
"5%87","New Mexico",2021-01-16,4,104.95,40911.4,1
"10%87","New Mexico",2021-01-16,4,312.7,23430,1
"15%87","New Mexico",2021-01-16,4,578.85,14143.15,1
"20%87","New Mexico",2021-01-16,4,919.6,8803.40000000001,1
"25%87","New Mexico",2021-01-16,4,1304.75,5534.5,1
"30%87","New Mexico",2021-01-16,4,22,3505.8,1
"35%87","New Mexico",2021-01-16,4,54,2247.7,0
"40%87","New Mexico",2021-01-16,4,121.6,1396.8,0
"45%87","New Mexico",2021-01-16,4,251.650000000001,805.800000000001,0
"1%88","New Mexico",2021-01-23,1,3180.96,8114.04,1
"2.5%88","New Mexico",2021-01-23,1,3387,7587,1
"5%88","New Mexico",2021-01-23,1,3638.9,7174.05,1
"10%88","New Mexico",2021-01-23,1,3944,6655,1
"15%88","New Mexico",2021-01-23,1,4151.85,6370.6,1
"20%88","New Mexico",2021-01-23,1,4343.6,6134.4,1
"25%88","New Mexico",2021-01-23,1,4495,5929,1
"30%88","New Mexico",2021-01-23,1,4635.7,5761,1
"35%88","New Mexico",2021-01-23,1,4781,5599.05,1
"40%88","New Mexico",2021-01-23,1,4911.6,5449,1
"45%88","New Mexico",2021-01-23,1,5046.55,5291.45,0
"1%89","New Mexico",2021-01-23,2,898.96,12747.16,1
"2.5%89","New Mexico",2021-01-23,2,1238.9,11212.1,1
"5%89","New Mexico",2021-01-23,2,1563,9958.25,1
"10%89","New Mexico",2021-01-23,2,2021.8,8549.5,1
"15%89","New Mexico",2021-01-23,2,2380,7512.75,1
"20%89","New Mexico",2021-01-23,2,2661.4,6844.4,1
"25%89","New Mexico",2021-01-23,2,2957,6299.25,1
"30%89","New Mexico",2021-01-23,2,3256.1,5898,1
"35%89","New Mexico",2021-01-23,2,3535,5498.4,1
"40%89","New Mexico",2021-01-23,2,3828,5118.4,0
"45%89","New Mexico",2021-01-23,2,4131.1,4756.8,0
"1%90","New Mexico",2021-01-23,3,898.96,24813.48,1
"2.5%90","New Mexico",2021-01-23,3,27,19231.1,1
"5%90","New Mexico",2021-01-23,3,72,15370.15,1
"10%90","New Mexico",2021-01-23,3,198,11346.8,1
"15%90","New Mexico",2021-01-23,3,371,8972.55000000001,1
"20%90","New Mexico",2021-01-23,3,571,7377,1
"25%90","New Mexico",2021-01-23,3,822.5,6260,1
"30%90","New Mexico",2021-01-23,3,1110.7,5345.8,1
"35%90","New Mexico",2021-01-23,3,1436,4525.45000000001,1
"40%90","New Mexico",2021-01-23,3,1791.4,3782.8,1
"45%90","New Mexico",2021-01-23,3,2208.55,3212.45,1
"1%91","New Mexico",2021-01-23,4,898.96,50699.4,1
"2.5%91","New Mexico",2021-01-23,4,27,36281.6999999999,1
"5%91","New Mexico",2021-01-23,4,72,23621.8,1
"10%91","New Mexico",2021-01-23,4,198,13535.3,1
"15%91","New Mexico",2021-01-23,4,371,8624.2,1
"20%91","New Mexico",2021-01-23,4,571,5570.00000000001,1
"25%91","New Mexico",2021-01-23,4,822.5,3563.25000000001,1
"30%91","New Mexico",2021-01-23,4,16,2256.4,1
"35%91","New Mexico",2021-01-23,4,39,1465.35,0
"40%91","New Mexico",2021-01-23,4,87,878.400000000001,0
"45%91","New Mexico",2021-01-23,4,164.55,527.900000000001,0
"1%92","New Mexico",2021-01-30,1,2497.96,6434.13,1
"2.5%92","New Mexico",2021-01-30,1,2736.975,6011.05,1
"5%92","New Mexico",2021-01-30,1,2966,5692.05,1
"10%92","New Mexico",2021-01-30,1,3209,5354.2,1
"15%92","New Mexico",2021-01-30,1,3378.85,5113,1
"20%92","New Mexico",2021-01-30,1,3524,4950.2,1
"25%92","New Mexico",2021-01-30,1,3663,4802,1
"30%92","New Mexico",2021-01-30,1,3783.7,4663,0
"35%92","New Mexico",2021-01-30,1,3897,4544,0
"40%92","New Mexico",2021-01-30,1,3996,4424,0
"45%92","New Mexico",2021-01-30,1,4108,4323.45,0
"1%93","New Mexico",2021-01-30,2,627.96,9346.04,1
"2.5%93","New Mexico",2021-01-30,2,830,8198.77499999999,1
"5%93","New Mexico",2021-01-30,2,1099.75,7185.25,1
"10%93","New Mexico",2021-01-30,2,1444.7,6143.7,1
"15%93","New Mexico",2021-01-30,2,1681.55,5524.45,1
"20%93","New Mexico",2021-01-30,2,1925.8,5057.4,1
"25%93","New Mexico",2021-01-30,2,2155.25,4673.25,1
"30%93","New Mexico",2021-01-30,2,2398.2,4313.3,1
"35%93","New Mexico",2021-01-30,2,2617,4002.35,1
"40%93","New Mexico",2021-01-30,2,2824.6,3726.8,1
"45%93","New Mexico",2021-01-30,2,3009.1,3474,1
"1%94","New Mexico",2021-01-30,3,627.96,16914.12,1
"2.5%94","New Mexico",2021-01-30,3,17,13612.95,1
"5%94","New Mexico",2021-01-30,3,49,10363.15,1
"10%94","New Mexico",2021-01-30,3,135,7574.1,1
"15%94","New Mexico",2021-01-30,3,236.85,6101.6,1
"20%94","New Mexico",2021-01-30,3,358,5092.2,1
"25%94","New Mexico",2021-01-30,3,516.75,4239,1
"30%94","New Mexico",2021-01-30,3,691,3561,1
"35%94","New Mexico",2021-01-30,3,909.95,2977.35,1
"40%94","New Mexico",2021-01-30,3,1160.6,2520.4,1
"45%94","New Mexico",2021-01-30,3,1433.55,2056.45,0
"1%95","New Mexico",2021-01-30,4,627.96,28238.2500000002,1
"2.5%95","New Mexico",2021-01-30,4,17,19323,1
"5%95","New Mexico",2021-01-30,4,49,13220.15,1
"10%95","New Mexico",2021-01-30,4,135,7169.30000000002,1
"15%95","New Mexico",2021-01-30,4,236.85,4731.90000000001,1
"20%95","New Mexico",2021-01-30,4,358,3108,1
"25%95","New Mexico",2021-01-30,4,516.75,2040.25,0
"30%95","New Mexico",2021-01-30,4,11,1327,0
"35%95","New Mexico",2021-01-30,4,27,836.700000000002,0
"40%95","New Mexico",2021-01-30,4,56,543.400000000001,0
"45%95","New Mexico",2021-01-30,4,108.55,342,0
"1%96","New Mexico",2021-02-06,1,1678.98,4265.07,1
"2.5%96","New Mexico",2021-02-06,1,1824.975,4054.075,1
"5%96","New Mexico",2021-02-06,1,1956.95,3866,1
"10%96","New Mexico",2021-02-06,1,2130,3602,1
"15%96","New Mexico",2021-02-06,1,2255,3436,1
"20%96","New Mexico",2021-02-06,1,2355,3314.2,1
"25%96","New Mexico",2021-02-06,1,2444,3209,1
"30%96","New Mexico",2021-02-06,1,2520,3110,1
"35%96","New Mexico",2021-02-06,1,2587.65,3026,0
"40%96","New Mexico",2021-02-06,1,2660,2947,0
"45%96","New Mexico",2021-02-06,1,2730.55,2875,0
"1%97","New Mexico",2021-02-06,2,364.96,5737.12,1
"2.5%97","New Mexico",2021-02-06,2,540.925,4920.15,1
"5%97","New Mexico",2021-02-06,2,688.8,4289.25,1
"10%97","New Mexico",2021-02-06,2,857,3643.2,1
"15%97","New Mexico",2021-02-06,2,1019.7,3227.15,1
"20%97","New Mexico",2021-02-06,2,1175.8,2970,1
"25%97","New Mexico",2021-02-06,2,1312,2745,1
"30%97","New Mexico",2021-02-06,2,1439,2558,1
"35%97","New Mexico",2021-02-06,2,1561.65,2370.7,1
"40%97","New Mexico",2021-02-06,2,1698.6,2234,1
"45%97","New Mexico",2021-02-06,2,1814,2079.45,0
"1%98","New Mexico",2021-02-06,3,364.96,8448.36000000001,1
"2.5%98","New Mexico",2021-02-06,3,12,6574.175,1
"5%98","New Mexico",2021-02-06,3,30,5183.65,1
"10%98","New Mexico",2021-02-06,3,81,3916.4,1
"15%98","New Mexico",2021-02-06,3,136,3034.6,1
"20%98","New Mexico",2021-02-06,3,200,2481.4,1
"25%98","New Mexico",2021-02-06,3,288.75,2058,0
"30%98","New Mexico",2021-02-06,3,373,1736.2,0
"35%98","New Mexico",2021-02-06,3,481,1462.7,0
"40%98","New Mexico",2021-02-06,3,598.6,1243,0
"45%98","New Mexico",2021-02-06,3,714,1031.9,0
"1%99","New Mexico",2021-02-06,4,364.96,11067.55,1
"2.5%99","New Mexico",2021-02-06,4,12,7895.2,1
"5%99","New Mexico",2021-02-06,4,30,5221.05,1
"10%99","New Mexico",2021-02-06,4,81,3038.3,1
"15%99","New Mexico",2021-02-06,4,136,1929.45,1
"20%99","New Mexico",2021-02-06,4,200,1301.2,0
"25%99","New Mexico",2021-02-06,4,288.75,849.500000000001,0
"30%99","New Mexico",2021-02-06,4,373,542.6,0
"35%99","New Mexico",2021-02-06,4,11,339.350000000001,0
"40%99","New Mexico",2021-02-06,4,22,210.400000000001,0
"45%99","New Mexico",2021-02-06,4,43,124,0
"1%100","New Mexico",2021-02-13,1,1516.95,3779.01,1
"2.5%100","New Mexico",2021-02-13,1,1648,3571,1
"5%100","New Mexico",2021-02-13,1,1763.95,3392,1
"10%100","New Mexico",2021-02-13,1,1905,3166,1
"15%100","New Mexico",2021-02-13,1,2003,3023,1
"20%100","New Mexico",2021-02-13,1,2092,2915,1
"25%100","New Mexico",2021-02-13,1,2157,2822.25,1
"30%100","New Mexico",2021-02-13,1,2227,2741,0
"35%100","New Mexico",2021-02-13,1,2299,2670.35,0
"40%100","New Mexico",2021-02-13,1,2361,2601.4,0
"45%100","New Mexico",2021-02-13,1,2424,2538.45,0
"1%101","New Mexico",2021-02-13,2,345.99,5163.1,1
"2.5%101","New Mexico",2021-02-13,2,473.975,4543.2,1
"5%101","New Mexico",2021-02-13,2,617.9,4059.05,1
"10%101","New Mexico",2021-02-13,2,823.9,3450.1,1
"15%101","New Mexico",2021-02-13,2,974,3098,1
"20%101","New Mexico",2021-02-13,2,1122.8,2825.4,1
"25%101","New Mexico",2021-02-13,2,1246,2580.25,1
"30%101","New Mexico",2021-02-13,2,1371,2385.3,0
"35%101","New Mexico",2021-02-13,2,1487,2203,0
"40%101","New Mexico",2021-02-13,2,1593,2078,0
"45%101","New Mexico",2021-02-13,2,1693,1945,0
"1%102","New Mexico",2021-02-13,3,345.99,8385.04,1
"2.5%102","New Mexico",2021-02-13,3,473.975,6758.59999999999,1
"5%102","New Mexico",2021-02-13,3,26,5454.05,1
"10%102","New Mexico",2021-02-13,3,72,3941,1
"15%102","New Mexico",2021-02-13,3,120.85,3167.3,1
"20%102","New Mexico",2021-02-13,3,194,2597.2,1
"25%102","New Mexico",2021-02-13,3,272.75,2164.25,1
"30%102","New Mexico",2021-02-13,3,377.4,1810.3,0
"35%102","New Mexico",2021-02-13,3,492.3,1540,0
"40%102","New Mexico",2021-02-13,3,621,1304,0
"45%102","New Mexico",2021-02-13,3,767.55,1107.9,0
"1%103","New Mexico",2021-02-13,4,345.99,14357.26,1
"2.5%103","New Mexico",2021-02-13,4,473.975,9412.47499999998,1
"5%103","New Mexico",2021-02-13,4,26,6550,1
"10%103","New Mexico",2021-02-13,4,72,3650,1
"15%103","New Mexico",2021-02-13,4,120.85,2405.6,1
"20%103","New Mexico",2021-02-13,4,194,1603.4,1
"25%103","New Mexico",2021-02-13,4,272.75,1029,0
"30%103","New Mexico",2021-02-13,4,377.4,651.3,0
"35%103","New Mexico",2021-02-13,4,13,423,0
"40%103","New Mexico",2021-02-13,4,28,266,0
"45%103","New Mexico",2021-02-13,4,51,167.45,0
"1%104","New Mexico",2021-02-20,1,1037.98,2594.02,1
"2.5%104","New Mexico",2021-02-20,1,1124,2382.125,0
"5%104","New Mexico",2021-02-20,1,1205,2267.05,0
"10%104","New Mexico",2021-02-20,1,1308,2115.1,0
"15%104","New Mexico",2021-02-20,1,1373.85,2031,0
"20%104","New Mexico",2021-02-20,1,1430,1961,0
"25%104","New Mexico",2021-02-20,1,1478,1904,0
"30%104","New Mexico",2021-02-20,1,1522,1859,0
"35%104","New Mexico",2021-02-20,1,1567,1813,0
"40%104","New Mexico",2021-02-20,1,1606,1767,0
"45%104","New Mexico",2021-02-20,1,1643,1727,0
"1%105","New Mexico",2021-02-20,2,256,3337.2,1
"2.5%105","New Mexico",2021-02-20,2,335.975,2908.05,1
"5%105","New Mexico",2021-02-20,2,430.95,2575.15,1
"10%105","New Mexico",2021-02-20,2,559,2212.2,1
"15%105","New Mexico",2021-02-20,2,670,1994.15,1
"20%105","New Mexico",2021-02-20,2,759,1842,0
"25%105","New Mexico",2021-02-20,2,834,1698.5,0
"30%105","New Mexico",2021-02-20,2,902,1575,0
"35%105","New Mexico",2021-02-20,2,975.65,1465,0
"40%105","New Mexico",2021-02-20,2,1051,1371.4,0
"45%105","New Mexico",2021-02-20,2,1130,1292,0
"1%106","New Mexico",2021-02-20,3,256,5847.1,1
"2.5%106","New Mexico",2021-02-20,3,335.975,4369.175,1
"5%106","New Mexico",2021-02-20,3,16,3481.25,1
"10%106","New Mexico",2021-02-20,3,43,2534.3,1
"15%106","New Mexico",2021-02-20,3,86,1969.65000000001,1
"20%106","New Mexico",2021-02-20,3,135,1624.2,1
"25%106","New Mexico",2021-02-20,3,186,1338.25,0
"30%106","New Mexico",2021-02-20,3,250,1129,0
"35%106","New Mexico",2021-02-20,3,320.65,969,0
"40%106","New Mexico",2021-02-20,3,402.6,836,0
"45%106","New Mexico",2021-02-20,3,492,705.45,0
"1%107","New Mexico",2021-02-20,4,256,8287.03,1
"2.5%107","New Mexico",2021-02-20,4,335.975,5641.25,1
"5%107","New Mexico",2021-02-20,4,16,3895.75000000001,1
"10%107","New Mexico",2021-02-20,4,43,2421,1
"15%107","New Mexico",2021-02-20,4,86,1469.6,1
"20%107","New Mexico",2021-02-20,4,135,1003.8,0
"25%107","New Mexico",2021-02-20,4,186,660,0
"30%107","New Mexico",2021-02-20,4,250,435,0
"35%107","New Mexico",2021-02-20,4,320.65,278.350000000001,0
"40%107","New Mexico",2021-02-20,4,19,174,0
"45%107","New Mexico",2021-02-20,4,35,108,0
"1%108","New Mexico",2021-02-27,1,1368.99,3396.07,1
"2.5%108","New Mexico",2021-02-27,1,1471.925,3186,1
"5%108","New Mexico",2021-02-27,1,1589,3025.05,1
"10%108","New Mexico",2021-02-27,1,1723,2838,1
"15%108","New Mexico",2021-02-27,1,1810,2724,1
"20%108","New Mexico",2021-02-27,1,1883,2624.2,0
"25%108","New Mexico",2021-02-27,1,1947,2544,0
"30%108","New Mexico",2021-02-27,1,2004,2471.3,0
"35%108","New Mexico",2021-02-27,1,2066,2406,0
"40%108","New Mexico",2021-02-27,1,2120,2346,0
"45%108","New Mexico",2021-02-27,1,2173,2286,0
"1%109","New Mexico",2021-02-27,2,426.99,5706.30000000001,1
"2.5%109","New Mexico",2021-02-27,2,577.875,4895.64999999999,1
"5%109","New Mexico",2021-02-27,2,714,4275.2,1
"10%109","New Mexico",2021-02-27,2,921.8,3637.1,1
"15%109","New Mexico",2021-02-27,2,1093,3274.15,1
"20%109","New Mexico",2021-02-27,2,1221.8,2957.2,1
"25%109","New Mexico",2021-02-27,2,1355,2768.25,1
"30%109","New Mexico",2021-02-27,2,1510.7,2592.3,0
"35%109","New Mexico",2021-02-27,2,1626,2427.35,0
"40%109","New Mexico",2021-02-27,2,1747.6,2269,0
"45%109","New Mexico",2021-02-27,2,1867.55,2129.45,0
"1%110","New Mexico",2021-02-27,3,426.99,11650.99,1
"2.5%110","New Mexico",2021-02-27,3,18,9170.99999999999,1
"5%110","New Mexico",2021-02-27,3,47.95,7163,1
"10%110","New Mexico",2021-02-27,3,134.9,5404.4,1
"15%110","New Mexico",2021-02-27,3,231,4412.15,1
"20%110","New Mexico",2021-02-27,3,331.8,3659,1
"25%110","New Mexico",2021-02-27,3,458,3074.5,1
"30%110","New Mexico",2021-02-27,3,597.4,2588.2,1
"35%110","New Mexico",2021-02-27,3,754.65,2225.35,1
"40%110","New Mexico",2021-02-27,3,912,1879,1
"45%110","New Mexico",2021-02-27,3,1114.65,1588.45,1
"1%111","New Mexico",2021-02-27,4,426.99,25878.14,1
"2.5%111","New Mexico",2021-02-27,4,18,16692.875,1
"5%111","New Mexico",2021-02-27,4,47.95,11462.1,1
"10%111","New Mexico",2021-02-27,4,134.9,6749.4,1
"15%111","New Mexico",2021-02-27,4,231,4302.15,1
"20%111","New Mexico",2021-02-27,4,331.8,2906.2,1
"25%111","New Mexico",2021-02-27,4,458,1954.25,1
"30%111","New Mexico",2021-02-27,4,16,1313.5,0
"35%111","New Mexico",2021-02-27,4,37,867.350000000001,0
"40%111","New Mexico",2021-02-27,4,73.6000000000001,582,0
"45%111","New Mexico",2021-02-27,4,135,365,0
"1%112","New Mexico",2021-03-06,1,1056.93,2691.05,1
"2.5%112","New Mexico",2021-03-06,1,1137.975,2507.05,1
"5%112","New Mexico",2021-03-06,1,1218,2359,1
"10%112","New Mexico",2021-03-06,1,1319.9,2223.2,1
"15%112","New Mexico",2021-03-06,1,1394,2115.15,1
"20%112","New Mexico",2021-03-06,1,1453,2030,0
"25%112","New Mexico",2021-03-06,1,1511,1965,0
"30%112","New Mexico",2021-03-06,1,1556,1913,0
"35%112","New Mexico",2021-03-06,1,1597,1861,0
"40%112","New Mexico",2021-03-06,1,1641,1815,0
"45%112","New Mexico",2021-03-06,1,1685,1775,0
"1%113","New Mexico",2021-03-06,2,328.99,4237.03,1
"2.5%113","New Mexico",2021-03-06,2,451.975,3704.125,1
"5%113","New Mexico",2021-03-06,2,585.95,3346,1
"10%113","New Mexico",2021-03-06,2,739,2875.1,1
"15%113","New Mexico",2021-03-06,2,861,2560,1
"20%113","New Mexico",2021-03-06,2,967,2370,1
"25%113","New Mexico",2021-03-06,2,1075,2194,1
"30%113","New Mexico",2021-03-06,2,1168,2041.6,1
"35%113","New Mexico",2021-03-06,2,1268.65,1917,1
"40%113","New Mexico",2021-03-06,2,1370.6,1786.4,1
"45%113","New Mexico",2021-03-06,2,1467,1672,0
"1%114","New Mexico",2021-03-06,3,328.99,8839.07,1
"2.5%114","New Mexico",2021-03-06,3,14,6806.025,1
"5%114","New Mexico",2021-03-06,3,38,5458,1
"10%114","New Mexico",2021-03-06,3,101,4157,1
"15%114","New Mexico",2021-03-06,3,175,3335.45,1
"20%114","New Mexico",2021-03-06,3,253.8,2754.2,1
"25%114","New Mexico",2021-03-06,3,344,2306.25,1
"30%114","New Mexico",2021-03-06,3,444.7,1966.9,1
"35%114","New Mexico",2021-03-06,3,557,1640,1
"40%114","New Mexico",2021-03-06,3,687,1394,1
"45%114","New Mexico",2021-03-06,3,830,1196.9,0
"1%115","New Mexico",2021-03-06,4,328.99,19593.7,1
"2.5%115","New Mexico",2021-03-06,4,14,13248.575,1
"5%115","New Mexico",2021-03-06,4,38,8975.95000000001,1
"10%115","New Mexico",2021-03-06,4,101,5100.00000000001,1
"15%115","New Mexico",2021-03-06,4,175,3430.45,1
"20%115","New Mexico",2021-03-06,4,253.8,2247.6,1
"25%115","New Mexico",2021-03-06,4,344,1534.25,1
"30%115","New Mexico",2021-03-06,4,12,958.3,0
"35%115","New Mexico",2021-03-06,4,27,657.350000000001,0
"40%115","New Mexico",2021-03-06,4,55,413.800000000001,0
"45%115","New Mexico",2021-03-06,4,97,263,0
"1%116","New Mexico",2021-03-13,1,766.98,1901.02,1
"2.5%116","New Mexico",2021-03-13,1,822.975,1762,1
"5%116","New Mexico",2021-03-13,1,883,1675.1,1
"10%116","New Mexico",2021-03-13,1,947,1573,1
"15%116","New Mexico",2021-03-13,1,996,1503,1
"20%116","New Mexico",2021-03-13,1,1036.8,1440.2,1
"25%116","New Mexico",2021-03-13,1,1074,1397.25,1
"30%116","New Mexico",2021-03-13,1,1107,1358,0
"35%116","New Mexico",2021-03-13,1,1138,1321,0
"40%116","New Mexico",2021-03-13,1,1168.6,1287,0
"45%116","New Mexico",2021-03-13,1,1196,1256,0
"1%117","New Mexico",2021-03-13,2,222.99,2758.01,1
"2.5%117","New Mexico",2021-03-13,2,289.975,2389.025,1
"5%117","New Mexico",2021-03-13,2,369.95,2110.1,1
"10%117","New Mexico",2021-03-13,2,476.9,1804,1
"15%117","New Mexico",2021-03-13,2,558.85,1632,1
"20%117","New Mexico",2021-03-13,2,626,1502.2,1
"25%117","New Mexico",2021-03-13,2,689,1403,1
"30%117","New Mexico",2021-03-13,2,749,1296,0
"35%117","New Mexico",2021-03-13,2,816,1213,0
"40%117","New Mexico",2021-03-13,2,875,1131,0
"45%117","New Mexico",2021-03-13,2,934,1064,0
"1%118","New Mexico",2021-03-13,3,222.99,5205.07,1
"2.5%118","New Mexico",2021-03-13,3,12,4124.54999999999,1
"5%118","New Mexico",2021-03-13,3,28.95,3237.5,1
"10%118","New Mexico",2021-03-13,3,64,2377.2,1
"15%118","New Mexico",2021-03-13,3,108.85,1915.45,1
"20%118","New Mexico",2021-03-13,3,162.6,1595,1
"25%118","New Mexico",2021-03-13,3,213,1348.25,1
"30%118","New Mexico",2021-03-13,3,277,1153.3,0
"35%118","New Mexico",2021-03-13,3,354,997,0
"40%118","New Mexico",2021-03-13,3,434,851,0
"45%118","New Mexico",2021-03-13,3,522,728,0
"1%119","New Mexico",2021-03-13,4,222.99,9058.25000000001,1
"2.5%119","New Mexico",2021-03-13,4,12,6356,1
"5%119","New Mexico",2021-03-13,4,28.95,4255.75000000001,1
"10%119","New Mexico",2021-03-13,4,64,2645.1,1
"15%119","New Mexico",2021-03-13,4,108.85,1702.15,1
"20%119","New Mexico",2021-03-13,4,162.6,1128.2,0
"25%119","New Mexico",2021-03-13,4,213,760.500000000001,0
"30%119","New Mexico",2021-03-13,4,277,531.3,0
"35%119","New Mexico",2021-03-13,4,14,361.350000000001,0
"40%119","New Mexico",2021-03-13,4,29,242,0
"45%119","New Mexico",2021-03-13,4,53.5500000000002,152.45,0
"1%120","New Mexico",2021-03-20,1,761.99,1846.04,1
"2.5%120","New Mexico",2021-03-20,1,829,1737.05,1
"5%120","New Mexico",2021-03-20,1,886,1666.05,1
"10%120","New Mexico",2021-03-20,1,960.9,1560,1
"15%120","New Mexico",2021-03-20,1,1016,1500,1
"20%120","New Mexico",2021-03-20,1,1058,1452.2,1
"25%120","New Mexico",2021-03-20,1,1090.75,1409,1
"30%120","New Mexico",2021-03-20,1,1125,1372,1
"35%120","New Mexico",2021-03-20,1,1158,1338,1
"40%120","New Mexico",2021-03-20,1,1188,1308,0
"45%120","New Mexico",2021-03-20,1,1215,1276,0
"1%121","New Mexico",2021-03-20,2,240.99,2884.02,1
"2.5%121","New Mexico",2021-03-20,2,310,2479.42499999999,1
"5%121","New Mexico",2021-03-20,2,384,2179.05,1
"10%121","New Mexico",2021-03-20,2,491,1892.1,1
"15%121","New Mexico",2021-03-20,2,571,1708,1
"20%121","New Mexico",2021-03-20,2,645,1565.2,1
"25%121","New Mexico",2021-03-20,2,721,1451.25,1
"30%121","New Mexico",2021-03-20,2,789,1349,1
"35%121","New Mexico",2021-03-20,2,855,1258,0
"40%121","New Mexico",2021-03-20,2,916,1175,0
"45%121","New Mexico",2021-03-20,2,974,1107.45,0
"1%122","New Mexico",2021-03-20,3,240.99,5183.01,1
"2.5%122","New Mexico",2021-03-20,3,12,4119.42499999999,1
"5%122","New Mexico",2021-03-20,3,30,3338.5,1
"10%122","New Mexico",2021-03-20,3,70,2504.2,1
"15%122","New Mexico",2021-03-20,3,123,2039.15,1
"20%122","New Mexico",2021-03-20,3,173,1711.4,1
"25%122","New Mexico",2021-03-20,3,233,1447.25,1
"30%122","New Mexico",2021-03-20,3,306.7,1231.3,1
"35%122","New Mexico",2021-03-20,3,371,1054.35,0
"40%122","New Mexico",2021-03-20,3,460.2,909,0
"45%122","New Mexico",2021-03-20,3,553.55,773.45,0
"1%123","New Mexico",2021-03-20,4,240.99,10642.05,1
"2.5%123","New Mexico",2021-03-20,4,12,7402.47499999999,1
"5%123","New Mexico",2021-03-20,4,30,4892.05,1
"10%123","New Mexico",2021-03-20,4,70,2921.5,1
"15%123","New Mexico",2021-03-20,4,123,1921.15,1
"20%123","New Mexico",2021-03-20,4,173,1297,0
"25%123","New Mexico",2021-03-20,4,233,893.25,0
"30%123","New Mexico",2021-03-20,4,306.7,601.3,0
"35%123","New Mexico",2021-03-20,4,18,421,0
"40%123","New Mexico",2021-03-20,4,36,278,0
"45%123","New Mexico",2021-03-20,4,66.5500000000002,174.45,0
"1%124","New Mexico",2021-03-27,1,769.99,1879.04,1
"2.5%124","New Mexico",2021-03-27,1,837.925,1777,1
"5%124","New Mexico",2021-03-27,1,894,1683.05,1
"10%124","New Mexico",2021-03-27,1,959.9,1576.1,1
"15%124","New Mexico",2021-03-27,1,1007,1503,1
"20%124","New Mexico",2021-03-27,1,1049,1450,1
"25%124","New Mexico",2021-03-27,1,1087,1404,1
"30%124","New Mexico",2021-03-27,1,1124,1366,1
"35%124","New Mexico",2021-03-27,1,1153,1331,1
"40%124","New Mexico",2021-03-27,1,1182,1301,1
"45%124","New Mexico",2021-03-27,1,1210,1271,1
"1%125","New Mexico",2021-03-27,2,271,3022.02,1
"2.5%125","New Mexico",2021-03-27,2,352,2613.075,1
"5%125","New Mexico",2021-03-27,2,429.85,2357.1,1
"10%125","New Mexico",2021-03-27,2,529.9,2033.3,1
"15%125","New Mexico",2021-03-27,2,617,1840,1
"20%125","New Mexico",2021-03-27,2,692,1676.2,1
"25%125","New Mexico",2021-03-27,2,762,1555.25,1
"30%125","New Mexico",2021-03-27,2,833,1445.3,1
"35%125","New Mexico",2021-03-27,2,897,1356,1
"40%125","New Mexico",2021-03-27,2,963,1271,1
"45%125","New Mexico",2021-03-27,2,1036,1183,0
"1%126","New Mexico",2021-03-27,3,271,5647.16,1
"2.5%126","New Mexico",2021-03-27,3,15.975,4390.54999999999,1
"5%126","New Mexico",2021-03-27,3,35,3519.35,1
"10%126","New Mexico",2021-03-27,3,88,2704.1,1
"15%126","New Mexico",2021-03-27,3,147,2190,1
"20%126","New Mexico",2021-03-27,3,210,1859.2,1
"25%126","New Mexico",2021-03-27,3,279.75,1582.25,1
"30%126","New Mexico",2021-03-27,3,360,1348,0
"35%126","New Mexico",2021-03-27,3,447,1168.35,0
"40%126","New Mexico",2021-03-27,3,537,993,0
"45%126","New Mexico",2021-03-27,3,632,855.45,0
"1%127","New Mexico",2021-03-27,4,271,11292.34,1
"2.5%127","New Mexico",2021-03-27,4,15.975,7928.62499999999,1
"5%127","New Mexico",2021-03-27,4,35,5461.95,1
"10%127","New Mexico",2021-03-27,4,88,3393.1,1
"15%127","New Mexico",2021-03-27,4,147,2178.9,1
"20%127","New Mexico",2021-03-27,4,210,1474,1
"25%127","New Mexico",2021-03-27,4,279.75,1054,0
"30%127","New Mexico",2021-03-27,4,14,735,0
"35%127","New Mexico",2021-03-27,4,29,522.350000000001,0
"40%127","New Mexico",2021-03-27,4,52,364,0
"45%127","New Mexico",2021-03-27,4,93,242,0
"1%128","New Mexico",2021-04-03,1,755,1841.03,1
"2.5%128","New Mexico",2021-04-03,1,817,1733,1
"5%128","New Mexico",2021-04-03,1,872,1648.05,1
"10%128","New Mexico",2021-04-03,1,949,1534,1
"15%128","New Mexico",2021-04-03,1,999,1470,1
"20%128","New Mexico",2021-04-03,1,1042,1424.2,1
