Time,Cases,NumSeq
5.8301,244,5
5.8493,268,8
5.8685,257,5
5.8877,253,7
5.9068,273,5
5.926,271,5
5.9452,273,11
5.9644,294,7
5.9836,299,10
6.0027,245,5
6.0219,264,14
6.0411,280,5
6.0603,267,7
6.0795,275,8
6.0986,257,6
6.1178,272,10
6.137,263,4
6.1562,264,3
6.1753,258,8
6.1945,255,4
6.2137,265,8
6.2329,263,7
6.2521,298,9
6.2712,266,4
6.2904,272,4
6.3096,257,6
6.3288,252,5
6.3479,292,8
6.3671,257,7
6.3863,250,5
6.4055,271,6
6.4247,288,10
6.4438,252,16
6.463,260,6
6.4822,268,8
6.5014,278,12
6.5205,266,5
6.5397,282,6
6.5589,244,4
6.5781,251,4
6.5973,250,4
6.6164,251,5
6.6356,274,8
6.6548,277,4
6.674,287,8
6.6932,263,2
6.7123,272,10
6.7315,268,6
6.7507,252,2
6.7699,280,8
6.789,268,7
6.8082,287,3
6.8274,283,6
6.8466,279,4
6.8658,287,10
6.8849,259,9
6.9041,250,12
6.9233,252,8
6.9425,249,5
6.9616,283,8
6.9808,283,3
7,272,2
7.0192,271,8
7.0384,290,7
7.0575,287,13
7.0767,267,4
7.0959,278,7
7.1151,283,9
7.1342,282,6
7.1534,270,4
7.1726,270,7
7.1918,275,5
7.211,284,3
7.2301,307,7
7.2493,300,4
7.2685,256,6
7.2877,272,8
7.3068,251,5
7.326,293,3
7.3452,281,8
7.3644,274,5
7.3836,260,4
7.4027,259,7
7.4219,281,6
7.4411,282,5
7.4603,273,6
7.4795,264,5
7.4986,262,6
7.5178,272,8
7.537,255,3
7.5562,262,11
7.5753,261,2
7.5945,281,9
7.6137,262,4
7.6329,267,10
7.6521,257,6
7.6712,274,12
7.6904,275,13
7.7096,286,14
7.7288,259,4
7.7479,295,6
7.7671,287,7
7.7863,262,7
7.8055,262,7
7.8247,270,4
7.8438,285,6
7.863,290,7
7.8822,271,5
7.9014,273,12
7.9205,289,6
7.9397,298,3
7.9589,272,6
7.9781,274,10
7.9973,272,6
8.0164,277,8
8.0356,295,8
8.0548,261,8
8.074,294,7
8.0932,264,5
8.1123,280,5
8.1315,270,6
8.1507,300,11
8.1699,276,5
8.189,278,6
8.2082,285,6
8.2274,272,8
8.2466,268,6
8.2658,253,7
8.2849,277,10
8.3041,263,3
8.3233,263,9
8.3425,262,6
8.3616,276,5
8.3808,277,4
8.4,278,4
8.4192,301,7
8.4384,289,7
8.4575,279,11
8.4767,267,4
8.4959,283,8
8.5151,285,7
8.5342,291,9
8.5534,280,9
8.5726,294,7
8.5918,297,11
8.611,271,13
8.6301,247,4
8.6493,255,5
8.6685,288,5
8.6877,296,3
8.7068,291,8
8.726,283,12
8.7452,281,7
8.7644,271,5
8.7836,284,6
8.8027,279,7
8.8219,276,7
8.8411,301,7
8.8603,286,8
8.8795,275,5
8.8986,280,5
8.9178,291,4
8.937,281,6
8.9562,298,6
8.9753,287,3
8.9945,264,10
9.0137,326,7
9.0329,275,10
9.0521,270,4
9.0712,271,8
9.0904,272,8
9.1096,277,10
9.1288,290,2
9.1479,292,4
9.1671,295,5
9.1863,293,5
9.2055,295,9
9.2247,300,4
9.2438,290,9
9.263,293,7
9.2822,273,6
9.3014,309,7
9.3205,301,7
9.3397,286,9
9.3589,270,5
9.3781,311,10
9.3973,267,4
9.4164,297,13
9.4356,302,10
9.4548,307,11
9.474,282,5
9.4932,284,5
9.5123,296,8
9.5315,284,5
9.5507,304,8
9.5699,271,10
9.589,277,4
9.6082,301,3
9.6274,273,9
9.6466,281,2
9.6658,330,3
9.6849,298,7
9.7041,273,5
9.7233,292,7
9.7425,300,8
9.7616,282,3
9.7808,255,9
9.8,270,3
9.8192,284,6
9.8384,282,7
9.8575,278,2
9.8767,301,7
9.8959,301,4
9.9151,293,9
9.9342,297,6
9.9534,290,7
9.9726,316,6
9.9918,286,7
10.011,299,16
10.0301,286,7
10.0493,283,8
10.0685,284,6
10.0877,302,6
10.1068,282,5
10.126,302,6
10.1452,283,9
10.1644,273,4
10.1836,293,6
10.2027,270,7
10.2219,297,4
10.2411,316,5
10.2603,291,5
10.2795,289,5
10.2986,289,10
10.3178,285,3
10.337,282,7
10.3562,313,9
10.3753,283,6
10.3945,290,10
10.4137,293,5
10.4329,311,7
10.4521,285,8
10.4712,292,5
10.4904,301,2
10.5096,294,4
10.5288,308,5
10.5479,308,5
10.5671,302,9
10.5863,300,11
10.6055,306,7
10.6247,303,5
10.6438,327,11
10.663,311,8
10.6822,306,13
10.7014,280,4
10.7205,280,9
10.7397,320,9
10.7589,305,8
10.7781,271,4
10.7973,303,10
10.8164,295,7
10.8356,296,6
10.8548,304,4
10.874,333,11
10.8932,295,7
10.9123,303,5
10.9315,295,12
10.9507,295,7
10.9699,312,10
10.989,286,7
11.0082,290,5
11.0274,295,8
11.0466,266,7
11.0658,307,10
11.0849,295,6
11.1041,307,7
11.1233,293,10
11.1425,297,6
11.1616,302,8
11.1808,283,8
11.2,289,5
11.2192,281,8
11.2384,275,4
11.2575,292,6
11.2767,318,8
11.2959,316,8
11.3151,291,11
11.3342,314,8
11.3534,294,8
11.3726,291,2
11.3918,287,7
11.411,297,7
11.4301,282,8
11.4493,306,6
11.4685,304,10
11.4877,307,5
11.5068,298,6
11.526,297,5
11.5452,292,6
11.5644,274,7
11.5836,297,7
11.6027,307,6
11.6219,278,6
11.6411,308,9
11.6603,298,4
11.6795,300,12
11.6986,314,10
11.7178,290,8
11.737,295,7
11.7562,285,6
11.7753,303,10
11.7945,308,8
11.8137,296,5
11.8329,308,6
11.8521,296,4
11.8712,285,3
11.8904,310,14
11.9096,316,6
11.9288,314,10
11.9479,328,10
11.9671,315,8
11.9863,328,6
12.0055,300,9
12.0247,307,6
12.0438,281,4
12.063,286,6
12.0822,293,5
12.1014,299,7
12.1205,309,4
12.1397,300,8
12.1589,277,5
12.1781,326,10
12.1973,272,7
12.2164,302,11
12.2356,313,9
12.2548,309,8
12.274,284,7
12.2932,300,4
12.3123,326,3
12.3315,300,4
12.3507,326,4
12.3699,304,6
12.389,278,6
12.4082,314,10
12.4274,309,7
12.4466,322,3
12.4658,329,12
12.4849,322,7
12.5041,296,6
12.5233,310,7
12.5425,286,7
12.5616,279,8
12.5808,277,9
12.6,296,9
12.6192,313,10
12.6384,291,5
12.6575,311,3
12.6767,305,11
12.6959,296,9
12.7151,301,5
12.7342,283,4
12.7534,290,6
12.7726,292,8
12.7918,312,10
12.811,282,3
12.8301,295,5
12.8493,306,7
12.8685,284,5
12.8877,308,8
12.9068,319,4
12.926,321,9
12.9452,301,12
12.9644,292,6
12.9836,290,9
13.0027,291,6
13.0219,322,7
13.0411,320,5
13.0603,276,6
13.0795,309,6
13.0986,312,9
13.1178,317,8
13.137,324,12
13.1562,318,6
13.1753,356,8
13.1945,350,4
13.2137,370,10
13.2329,349,10
13.2521,348,9
13.2712,386,6
13.2904,377,10
13.3096,390,12
13.3288,430,12
13.3479,403,6
13.3671,442,14
13.3863,442,12
13.4055,449,12
13.4247,452,7
13.4438,462,9
13.463,476,8
13.4822,452,13
13.5014,484,10
13.5205,498,12
13.5397,472,7
13.5589,453,5
13.5781,450,11
13.5973,418,12
13.6164,417,10
13.6356,439,11
13.6548,468,6
13.674,390,7
13.6932,421,14
13.7123,395,15
13.7315,394,4
13.7507,388,13
13.7699,414,6
13.789,384,8
13.8082,377,5
13.8274,376,14
13.8466,371,7
13.8658,409,10
13.8849,362,7
13.9041,385,8
13.9233,362,2
13.9425,339,7
13.9616,329,10
13.9808,344,13
14,327,11
14.0192,337,5
14.0384,331,7
14.0575,318,4
14.0767,297,2
14.0959,327,3
14.1151,323,8
14.1342,306,3
14.1534,294,5
14.1726,315,8
14.1918,304,10
14.211,288,5
14.2301,289,8
14.2493,324,8
14.2685,318,6
14.2877,307,2
14.3068,308,4
14.326,295,7
14.3452,301,7
14.3644,286,8
14.3836,283,11
14.4027,283,5
14.4219,284,6
14.4411,289,5
14.4603,280,7
14.4795,299,6
14.4986,291,5
14.5178,291,5
14.537,315,8
14.5562,290,6
14.5753,282,5
14.5945,268,13
14.6137,299,6
14.6329,271,2
14.6521,314,9
14.6712,299,8
14.6904,294,5
14.7096,301,6
14.7288,289,10
14.7479,275,5
14.7671,322,9
14.7863,283,13
14.8055,289,11
14.8247,300,6
14.8438,301,5
14.863,323,16
14.8822,289,8
14.9014,308,6
14.9205,312,5
14.9397,316,5
14.9589,307,8
14.9781,294,4
14.9973,294,8
15.0164,305,13
15.0356,302,5
15.0548,297,6
15.074,308,7
15.0932,307,5
15.1123,289,6
15.1315,301,6
15.1507,308,7
15.1699,300,6
15.189,310,7
15.2082,305,10
15.2274,296,7
15.2466,310,8
15.2658,280,14
15.2849,308,8
15.3041,298,8
15.3233,295,6
15.3425,322,7
15.3616,319,7
15.3808,322,6
15.4,296,9
15.4192,291,10
15.4384,297,7
15.4575,295,6
15.4767,307,8
15.4959,282,3
15.5151,272,10
15.5342,290,4
15.5534,281,11
15.5726,307,4
15.5918,293,7
15.611,315,9
15.6301,304,13
15.6493,300,5
15.6685,290,6
15.6877,292,7
15.7068,282,4
15.726,298,8
15.7452,271,5
15.7644,280,5
15.7836,329,5
15.8027,322,3
15.8219,329,10
15.8411,323,15
15.8603,297,5
15.8795,293,9
15.8986,320,7
15.9178,302,11
15.937,292,10
15.9562,284,8
15.9753,286,3
15.9945,312,12
16.0137,311,11
16.0329,312,5
16.0521,300,7
16.0712,290,6
16.0904,281,7
16.1096,313,13
16.1288,275,6
16.1479,304,9
16.1671,304,7
16.1863,311,11
16.2055,312,7
16.2247,290,6
16.2438,290,6
16.263,321,2
16.2822,308,2
16.3014,263,6
16.3205,298,6
16.3397,296,12
16.3589,296,6
16.3781,305,7
16.3973,294,7
16.4164,284,10
16.4356,294,5
16.4548,282,5
16.474,316,7
16.4932,341,7
16.5123,316,9
16.5315,301,4
16.5507,278,2
16.5699,300,2
16.589,314,13
16.6082,292,7
16.6274,293,4
16.6466,335,3
16.6658,312,8
16.6849,309,4
16.7041,291,14
16.7233,305,8
16.7425,323,7
16.7616,291,10
16.7808,298,4
16.8,295,6
16.8192,301,10
16.8384,304,4
16.8575,306,9
16.8767,324,5
16.8959,308,5
16.9151,334,8
16.9342,309,10
16.9534,308,10
16.9726,321,6
16.9918,335,8
17.011,324,5
17.0301,330,9
17.0493,351,7
17.0685,353,7
17.0877,342,8
17.1068,331,4
17.126,350,13
17.1452,409,10
17.1644,365,13
17.1836,384,12
17.2027,386,10
17.2219,393,8
17.2411,392,4
17.2603,424,7
17.2795,437,10
17.2986,484,13
17.3178,474,12
17.337,477,13
17.3562,463,8
17.3753,418,6
17.3945,447,6
17.4137,491,6
17.4329,512,11
17.4521,513,11
17.4712,532,9
17.4904,513,12
17.5096,481,5
17.5288,495,9
17.5479,495,10
17.5671,507,8
17.5863,507,21
17.6055,520,11
17.6247,507,10
17.6438,496,11
17.663,533,8
17.6822,494,8
17.7014,511,11
17.7205,492,12
17.7397,457,12
17.7589,480,14
17.7781,464,13
17.7973,425,14
17.8164,404,6
17.8356,449,7
17.8548,409,11
17.874,375,12
17.8932,398,8
17.9123,360,11
17.9315,394,6
17.9507,381,19
17.9699,425,11
17.989,424,10
18.0082,378,12
18.0274,365,5
18.0466,381,7
18.0658,367,9
18.0849,393,7
18.1041,347,9
18.1233,345,8
18.1425,339,12
18.1616,331,9
18.1808,360,8
18.2,326,6
18.2192,338,5
18.2384,296,9
18.2575,313,3
18.2767,311,9
18.2959,309,7
18.3151,298,7
18.3342,300,6
18.3534,313,13
18.3726,301,9
18.3918,324,6
18.411,326,8
18.4301,321,15
18.4493,325,6
18.4685,343,7
18.4877,310,9
18.5068,311,9
18.526,314,9
18.5452,295,12
18.5644,305,7
18.5836,319,3
18.6027,318,5
18.6219,304,8
18.6411,307,11
18.6603,333,7
18.6795,290,6
18.6986,288,6
18.7178,319,7
18.737,310,4
18.7562,310,7
18.7753,279,4
18.7945,308,8
18.8137,287,7
18.8329,340,12
18.8521,319,5
18.8712,308,9
18.8904,308,2
18.9096,308,4
18.9288,343,4
18.9479,335,10
18.9671,353,14
18.9863,331,8
19.0055,349,6
19.0247,335,9
19.0438,347,4
19.063,380,7
19.0822,419,12
19.1014,430,12
19.1205,476,6
19.1397,489,14
19.1589,505,11
19.1781,559,16
19.1973,575,8
19.2164,583,10
19.2356,669,11
19.2548,718,11
19.274,741,16
19.2932,768,17
19.3123,858,11
19.3315,884,12
19.3507,950,20
19.3699,1013,18
19.389,1024,29
19.4082,1051,19
19.4274,1085,31
19.4466,1093,22
19.4658,1116,32
19.4849,1135,27
19.5041,1126,22
19.5233,1144,30
19.5425,1152,32
19.5616,1148,26
19.5808,1058,35
19.6,1065,21
19.6192,1007,25
19.6384,981,16
19.6575,984,34
19.6767,923,20
19.6959,896,29
19.7151,883,19
19.7342,887,23
19.7534,869,21
19.7726,829,14
19.7918,787,26
19.811,754,18
19.8301,704,17
19.8493,672,14
19.8685,675,18
19.8877,626,17
19.9068,645,22
19.926,590,19
19.9452,586,12
19.9644,546,10
19.9836,526,NA
